timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717007098628,59,Змінити героя,200,OK,Endurance Test 1-813,text,true,,262,231,627,627,http://localhost:3001/character/4,59,0,0
1717007098623,65,Створити героя ,200,OK,Endurance Test 1-685,text,true,,263,236,627,627,http://localhost:3001/character,65,0,0
1717007098189,194,Отримати героя за id ,200,OK,Endurance Test 1-885,text,true,,266,130,627,627,http://localhost:3001/character/2,70,0,0
1717007098623,65,Створити героя ,200,OK,Endurance Test 1-950,text,true,,263,236,627,627,http://localhost:3001/character,65,0,0
1717007098622,66,Створити героя ,200,OK,Endurance Test 1-975,text,true,,263,236,627,627,http://localhost:3001/character,66,0,0
1717007097959,214,Змінити героя,200,OK,Endurance Test 1-859,text,true,,262,231,627,627,http://localhost:3001/character/4,117,0,0
1717007098105,584,Змінити героя,200,OK,Endurance Test 1-630,text,true,,262,231,627,627,http://localhost:3001/character/4,584,0,0
1717007098630,59,Видалити героя,200,OK,Endurance Test 1-547,text,true,,249,216,627,627,http://localhost:3001/character/4,59,0,0
1717007098630,59,Створити героя ,200,OK,Endurance Test 1-991,text,true,,263,236,627,627,http://localhost:3001/character,59,0,0
1717007097522,1167,Створити героя ,200,OK,Endurance Test 1-556,text,true,,263,236,627,627,http://localhost:3001/character,1167,0,0
1717007097956,305,Отримати героя за id ,200,OK,Endurance Test 1-727,text,true,,266,130,629,629,http://localhost:3001/character/2,305,0,0
1717007098630,59,Видалити героя,200,OK,Endurance Test 1-982,text,true,,249,216,627,627,http://localhost:3001/character/4,59,0,0
1717007098630,60,Створити героя ,200,OK,Endurance Test 1-649,text,true,,263,236,627,627,http://localhost:3001/character,59,0,0
1717007098631,59,Отримати героя за id ,200,OK,Endurance Test 1-833,text,true,,266,130,627,627,http://localhost:3001/character/2,59,0,0
1717007098631,59,Отримати героя за id ,200,OK,Endurance Test 1-845,text,true,,266,130,627,627,http://localhost:3001/character/2,59,0,0
1717007097256,1434,Створити героя ,200,OK,Endurance Test 1-688,text,true,,263,236,627,627,http://localhost:3001/character,1434,0,0
1717007098622,69,Змінити героя,200,OK,Endurance Test 1-483,text,true,,262,231,627,627,http://localhost:3001/character/4,69,0,0
1717007098631,60,Отримати героя за id ,200,OK,Endurance Test 1-516,text,true,,266,130,627,627,http://localhost:3001/character/2,60,0,0
1717007097430,1261,Створити героя ,200,OK,Endurance Test 1-867,text,true,,263,236,627,627,http://localhost:3001/character,1261,0,0
1717007098631,60,Змінити героя,200,OK,Endurance Test 1-591,text,true,,262,231,627,627,http://localhost:3001/character/4,60,0,0
1717007098628,63,Створити героя ,200,OK,Endurance Test 1-521,text,true,,263,236,627,627,http://localhost:3001/character,63,0,0
1717007098632,59,Отримати героя за id ,200,OK,Endurance Test 1-409,text,true,,266,130,627,627,http://localhost:3001/character/2,59,0,0
1717007098622,70,Створити героя ,200,OK,Endurance Test 1-911,text,true,,263,236,627,627,http://localhost:3001/character,70,0,0
1717007098631,61,Створити героя ,200,OK,Endurance Test 1-706,text,true,,263,236,627,627,http://localhost:3001/character,61,0,0
1717007097274,1418,Створити героя ,200,OK,Endurance Test 1-861,text,true,,263,236,627,627,http://localhost:3001/character,1418,0,0
1717007098623,69,Змінити героя,200,OK,Endurance Test 1-805,text,true,,262,231,627,627,http://localhost:3001/character/4,69,0,0
1717007098623,69,Видалити героя,200,OK,Endurance Test 1-511,text,true,,249,216,627,627,http://localhost:3001/character/4,69,0,0
1717007098623,69,Створити героя ,200,OK,Endurance Test 1-952,text,true,,263,236,627,627,http://localhost:3001/character,69,0,0
1717007098632,61,Видалити героя,200,OK,Endurance Test 1-821,text,true,,249,216,627,627,http://localhost:3001/character/4,61,0,0
1717007097270,1423,Створити героя ,200,OK,Endurance Test 1-436,text,true,,263,236,627,627,http://localhost:3001/character,1423,0,0
1717007098633,60,Змінити героя,200,OK,Endurance Test 1-515,text,true,,262,231,627,627,http://localhost:3001/character/4,60,0,0
1717007098633,60,Отримати героя за id ,200,OK,Endurance Test 1-951,text,true,,266,130,627,627,http://localhost:3001/character/2,60,0,0
1717007098623,70,Створити героя ,200,OK,Endurance Test 1-579,text,true,,263,236,627,627,http://localhost:3001/character,70,0,0
1717007098624,69,Створити героя ,200,OK,Endurance Test 1-883,text,true,,263,236,627,627,http://localhost:3001/character,69,0,0
1717007098633,60,Змінити героя,200,OK,Endurance Test 1-635,text,true,,262,231,627,627,http://localhost:3001/character/4,60,0,0
1717007098624,70,Змінити героя,200,OK,Endurance Test 1-678,text,true,,262,231,627,627,http://localhost:3001/character/4,70,0,0
1717007098021,673,Видалити героя,200,OK,Endurance Test 1-860,text,true,,249,216,627,627,http://localhost:3001/character/4,673,0,0
1717007098633,61,Створити героя ,200,OK,Endurance Test 1-786,text,true,,263,236,627,627,http://localhost:3001/character,61,0,0
1717007098633,61,Змінити героя,200,OK,Endurance Test 1-798,text,true,,262,231,627,627,http://localhost:3001/character/4,61,0,0
1717007098086,174,Отриати всіх героїв ,200,OK,Endurance Test 1-397,text,true,,8181,129,629,629,http://localhost:3001/characters,174,0,0
1717007098633,61,Видалити героя,200,OK,Endurance Test 1-842,text,true,,249,216,627,627,http://localhost:3001/character/4,61,0,0
1717007098633,61,Змінити героя,200,OK,Endurance Test 1-760,text,true,,262,231,627,627,http://localhost:3001/character/4,61,0,0
1717007097517,1177,Створити героя ,200,OK,Endurance Test 1-847,text,true,,263,236,627,627,http://localhost:3001/character,1177,0,0
1717007098633,61,Отримати героя за id ,200,OK,Endurance Test 1-985,text,true,,266,130,627,627,http://localhost:3001/character/2,61,0,0
1717007098634,61,Видалити героя,200,OK,Endurance Test 1-983,text,true,,249,216,627,627,http://localhost:3001/character/4,61,0,0
1717007098634,61,Отримати героя за id ,200,OK,Endurance Test 1-948,text,true,,266,130,627,627,http://localhost:3001/character/2,61,0,0
1717007098634,61,Видалити героя,200,OK,Endurance Test 1-679,text,true,,249,216,627,627,http://localhost:3001/character/4,61,0,0
1717007098622,73,Видалити героя,200,OK,Endurance Test 1-623,text,true,,249,216,627,627,http://localhost:3001/character/4,73,0,0
1717007098634,61,Отримати героя за id ,200,OK,Endurance Test 1-999,text,true,,266,130,627,627,http://localhost:3001/character/2,61,0,0
1717007098635,60,Видалити героя,200,OK,Endurance Test 1-695,text,true,,249,216,627,627,http://localhost:3001/character/4,60,0,0
1717007098635,61,Створити героя ,200,OK,Endurance Test 1-947,text,true,,263,236,627,627,http://localhost:3001/character,60,0,0
1717007098635,61,Видалити героя,200,OK,Endurance Test 1-772,text,true,,249,216,626,626,http://localhost:3001/character/4,61,0,0
1717007098634,62,Створити героя ,200,OK,Endurance Test 1-766,text,true,,263,236,626,626,http://localhost:3001/character,62,0,0
1717007098635,61,Видалити героя,200,OK,Endurance Test 1-775,text,true,,249,216,626,626,http://localhost:3001/character/4,61,0,0
1717007098524,173,Створити героя ,200,OK,Endurance Test 1-633,text,true,,263,236,626,626,http://localhost:3001/character,173,0,0
1717007098635,61,Створити героя ,200,OK,Endurance Test 1-621,text,true,,263,236,626,626,http://localhost:3001/character,61,0,0
1717007098635,62,Отримати героя за id ,200,OK,Endurance Test 1-567,text,true,,266,130,626,626,http://localhost:3001/character/2,62,0,0
1717007098636,61,Видалити героя,200,OK,Endurance Test 1-699,text,true,,249,216,626,626,http://localhost:3001/character/4,61,0,0
1717007098636,61,Отримати героя за id ,200,OK,Endurance Test 1-731,text,true,,266,130,626,626,http://localhost:3001/character/2,61,0,0
1717007098636,61,Видалити героя,200,OK,Endurance Test 1-451,text,true,,249,216,626,626,http://localhost:3001/character/4,61,0,0
1717007098102,159,Видалити героя,200,OK,Endurance Test 1-857,text,true,,249,216,629,629,http://localhost:3001/character/4,159,0,0
1717007097952,728,Змінити героя,200,OK,Endurance Test 1-392,text,true,,262,231,627,627,http://localhost:3001/character/4,728,0,0
1717007098528,152,Змінити героя,200,OK,Endurance Test 1-794,text,true,,262,231,627,627,http://localhost:3001/character/4,152,0,0
1717007098532,148,Видалити героя,200,OK,Endurance Test 1-716,text,true,,249,216,627,627,http://localhost:3001/character/4,148,0,0
1717007098521,159,Видалити героя,200,OK,Endurance Test 1-465,text,true,,249,216,627,627,http://localhost:3001/character/4,159,0,0
1717007098532,148,Отримати героя за id ,200,OK,Endurance Test 1-577,text,true,,266,130,627,627,http://localhost:3001/character/2,148,0,0
1717007098531,149,Створити героя ,200,OK,Endurance Test 1-634,text,true,,263,236,627,627,http://localhost:3001/character,149,0,0
1717007098537,142,Змінити героя,200,OK,Endurance Test 1-969,text,true,,262,231,626,626,http://localhost:3001/character/4,142,0,0
1717007097968,712,Створити героя ,200,OK,Endurance Test 1-690,text,true,,263,236,626,626,http://localhost:3001/character,712,0,0
1717007098536,143,Створити героя ,200,OK,Endurance Test 1-442,text,true,,263,236,626,626,http://localhost:3001/character,143,0,0
